Dato,Retning,Hul,Liter,Maskine,Højde,Bemærkning,Person,Cleanup,Brush
04/06/2023,,5,6,,,,,,
04/06/2023,,6,6,,,,,,
04/06/2023,,7,6,,,,,,
04/06/2023,,8,5,,,,,,
04/06/2023,,9,5,,,,,,
04/06/2023,,10,7,,,,,,
04/06/2023,,11,5,,,,,,
04/06/2023,,12,8,,,,,,
04/06/2023,,13,5,,,,,,
04/06/2023,,14,5,,,,,,
04/06/2023,,15,6,,,,,,
04/06/2023,,16,5,,,,,,
04/06/2023,,17,5,,,,,,
04/06/2023,,18,4,,,,,,
04/06/2023,,19,4,,,,,,
04/06/2023,,20,1,,,,,,
05/06/2023,,1,6,,,,Micke,Yes,
05/06/2023,,2,8,,,,Micke,Yes,
05/06/2023,,3,5,,,,Micke,Yes,
05/06/2023,,4,8,,,,Micke,Yes,
05/06/2023,,5,8,,,,Micke,Yes,
05/06/2023,,6,10,,,,Micke,Yes,
05/06/2023,,7,8,,,,Micke,Yes,
05/06/2023,,8,7,,,,Micke,Yes,
05/06/2023,,9,7,,,,Micke,Yes,
05/06/2023,,10,9,,,,Micke,Yes,
05/06/2023,,11,6,,,,Micke,Yes,
05/06/2023,,12,10,,,,Micke,Yes,
05/06/2023,,13,6,,,,Micke,Yes,
05/06/2023,,14,7,,,,Micke,Yes,
05/06/2023,,15,7,,,,Micke,Yes,
05/06/2023,,16,8,,,,Micke,Yes,
05/06/2023,,17,8,,,,Micke,Yes,
05/06/2023,,18,5,,,,Micke,Yes,
05/06/2023,,19,,,,,Micke,Yes,
05/06/2023,,20,,,,,Micke,Yes,
06/06/2023,,1,4,,,,,No,
06/06/2023,,2,5,,,,,No,
06/06/2023,,3,4,,,,,No,
06/06/2023,,4,5,,,,,No,
06/06/2023,,5,6,,,,,No,
06/06/2023,,6,6,,,,,No,
06/06/2023,,7,7,,,,,No,
06/06/2023,,8,4,,,,,No,
06/06/2023,,9,4,,,,,No,
06/06/2023,,10,6,,,,,No,
06/06/2023,,11,5,,,,,No,
06/06/2023,,12,9,,,,,No,
06/06/2023,,13,6,,,,,No,
06/06/2023,,14,5,,,,,No,
06/06/2023,,15,7,,,,,No,
06/06/2023,,16,5,,,,,No,
06/06/2023,,17,3,,,,,No,
06/06/2023,,18,5,,,,,No,
06/06/2023,,19,5,,,,,No,
06/06/2023,,20,1,,,,,No,
07/06/2023,,1,7,,,,,Yes,
07/06/2023,,2,8,,,,,Yes,
07/06/2023,,3,4,,,,,Yes,
07/06/2023,,4,6,,,,,Yes,
07/06/2023,,5,8,,,,,Yes,
07/06/2023,,6,6,,,,,Yes,
07/06/2023,,7,9,,,,,Yes,
07/06/2023,,8,7,,,,,Yes,
07/06/2023,,9,7,,,,,Yes,
07/06/2023,,10,9,,,,,Yes,
07/06/2023,,11,6,,,,,Yes,
07/06/2023,,12,9,,,,,Yes,
07/06/2023,,13,5,,,,,Yes,
07/06/2023,,14,9,,,,,Yes,
07/06/2023,,15,6,,,,,Yes,
07/06/2023,,16,8,,,,,Yes,
07/06/2023,,17,9,,,,,Yes,
07/06/2023,,18,6,,,,,Yes,
07/06/2023,,19,5,,,,,Yes,
07/06/2023,,20,2,,,,,Yes,
08/06/2023,,1,4,,,,,No,
08/06/2023,,2,5,,,,,No,
08/06/2023,,3,4,,,,,No,
08/06/2023,,4,6,,,,,No,
08/06/2023,,5,7,,,,,No,
08/06/2023,,6,6,,,,,No,
08/06/2023,,7,7,,,,,No,
08/06/2023,,8,5,,,,,No,
08/06/2023,,9,5,,,,,No,
08/06/2023,,10,6,,,,,No,
08/06/2023,,11,5,,,,,No,
08/06/2023,,12,7,,,,,No,
08/06/2023,,13,5,,,,,No,
08/06/2023,,14,5,,,,,No,
08/06/2023,,15,5,,,,,No,
08/06/2023,,16,4,,,,,No,
08/06/2023,,17,5,,,,,No,
08/06/2023,,18,5,,,,,No,
08/06/2023,,19,2,,,,,No,
08/06/2023,,20,1,,,,,No,
09/06/2023,,1,9,,,,,,
09/06/2023,,2,"9,5",,,,,,
09/06/2023,,3,"7,5",,,,,,
09/06/2023,,4,10,,,,,,
09/06/2023,,5,"10,5",,,,,,
09/06/2023,,6,"10,5",,,,,,
09/06/2023,,7,"10,5",,,,,,
09/06/2023,,8,"8,5",,,,,,
09/06/2023,,9,10,,,,,,
09/06/2023,,10,"13,5",,,,,,
09/06/2023,,11,"9,5",,,,,,
09/06/2023,,12,11,,,,,,
09/06/2023,,13,10,,,,,,
09/06/2023,,14,11,,,,,,
09/06/2023,,15,10,,,,,,
09/06/2023,,16,8,,,,,,
09/06/2023,,17,"9,5",,,,,,
09/06/2023,,18,"10,5",,,,,,
09/06/2023,,19,10,,,,,,
09/06/2023,,20,3,,,,,,
10/06/2023,,1,3,,,,,,
10/06/2023,,2,4,,,,,,
10/06/2023,,3,4,,,,,,
10/06/2023,,4,6,,,,,,
10/06/2023,,5,5,,,,,,
10/06/2023,,6,5,,,,,,
10/06/2023,,7,5,,,,,,
10/06/2023,,8,4,,,,,,
10/06/2023,,9,3,,,,,,
10/06/2023,,10,6,,,,,,
10/06/2023,,11,4,,,,,,
10/06/2023,,12,"0,5",,,,,,
10/06/2023,,13,4,,,,,,
10/06/2023,,14,5,,,,,,
10/06/2023,,15,5,,,,,,
10/06/2023,,16,3,,,,,,
10/06/2023,,17,4,,,,,,
10/06/2023,,18,5,,,,,,
10/06/2023,,19,6,,,,,,
10/06/2023,,20,,,,,,,
11/06/2023,,1,5,,,,,Yes,
11/06/2023,,2,5,,,,,Yes,
11/06/2023,,3,5,,,,,Yes,
11/06/2023,,4,6,,,,,Yes,
11/06/2023,,5,6,,,,,Yes,
11/06/2023,,6,7,,,,,Yes,
11/06/2023,,7,7,,,,,Yes,
11/06/2023,,8,5,,,,,Yes,
11/06/2023,,9,4,,,,,Yes,
11/06/2023,,10,7,,,,,Yes,
11/06/2023,,11,7,,,,,Yes,
11/06/2023,,12,6,,,,,Yes,
11/06/2023,,13,6,,,,,Yes,
11/06/2023,,14,7,,,,,Yes,
11/06/2023,,15,6,,,,,Yes,
11/06/2023,,16,5,,,,,Yes,
11/06/2023,,17,5,,,,,Yes,
11/06/2023,,18,5,,,,,Yes,
11/06/2023,,19,3,,,,,Yes,
11/06/2023,,20,2,,,,,Yes,
13/06/2023,,1,"4,5",,,,,Yes,
13/06/2023,,2,4,,,,,Yes,
13/06/2023,,3,6,,,,,Yes,
13/06/2023,,4,8,,,,,Yes,
13/06/2023,,5,5,,,,,Yes,
13/06/2023,,6,6,,,,,Yes,
13/06/2023,,7,"7,5",,,,,Yes,
13/06/2023,,8,5,,,,,Yes,
13/06/2023,,9,4,,,,,Yes,
13/06/2023,,10,"5,5",,,,,Yes,
13/06/2023,,11,4,,,,,Yes,
13/06/2023,,12,"9,5",,,,,Yes,
13/06/2023,,13,"8,5",,,,,Yes,
13/06/2023,,14,"6,5",,,,,Yes,
13/06/2023,,15,11,,,,,Yes,
13/06/2023,,16,"6,5",,,,,Yes,
13/06/2023,,17,7,,,,,Yes,
13/06/2023,,18,4,,,,,Yes,
13/06/2023,,19,5,,,,,Yes,
13/06/2023,,20,"2,5",,,,,Yes,
14/06/2023,,1,8,,,,,,
14/06/2023,,2,8,,,,,,
14/06/2023,,3,9,,,,,,
14/06/2023,,4,11,,,,,,
14/06/2023,,5,8,,,,,,
14/06/2023,,6,10,,,,,,
14/06/2023,,7,10,,,,,,
14/06/2023,,8,6,,,,,,
14/06/2023,,9,8,,,,,,
14/06/2023,,10,7,,,,,,
14/06/2023,,11,7,,,,,,
14/06/2023,,12,10,,,,,,
14/06/2023,,13,7,,,,,,
14/06/2023,,14,8,,,,,,
14/06/2023,,15,10,,,,,,
14/06/2023,,16,7,,,,,,
14/06/2023,,17,7,,,,,,
14/06/2023,,18,7,,,,,,
14/06/2023,,19,7,,,,,,
14/06/2023,,20,3,,,,,,
16/06/2023,,1,8,,,,,No,
16/06/2023,,2,7,,,,,No,
16/06/2023,,3,9,,,,,No,
16/06/2023,,4,12,,,,,No,
16/06/2023,,5,10,,,,,No,
16/06/2023,,6,11,,,,,No,
16/06/2023,,7,12,,,,,No,
16/06/2023,,8,7,,,,,No,
16/06/2023,,9,8,,,,,No,
16/06/2023,,10,8,,,,,No,
16/06/2023,,11,8,,,,,No,
16/06/2023,,12,10,,,,,No,
16/06/2023,,13,9,,,,,No,
16/06/2023,,14,10,,,,,No,
16/06/2023,,15,12,,,,,No,
16/06/2023,,16,7,,,,,No,
16/06/2023,,17,8,,,,,No,
16/06/2023,,18,8,,,,,No,
16/06/2023,,19,10,,,,,No,
16/06/2023,,20,3,,,,,No,
19/06/2023,Venstre-Højre:Med uret,1,"4,5",,,,,,
19/06/2023,Venstre-Højre:Med uret,2,5,,,,,,
19/06/2023,Venstre-Højre:Med uret,3,7,,,,,,
19/06/2023,Venstre-Højre:Med uret,4,10,,,,,,
19/06/2023,Venstre-Højre:Med uret,5,"8,5",,,,,,
19/06/2023,Venstre-Højre:Med uret,6,8,,,,,,
19/06/2023,Venstre-Højre:Med uret,7,7,,,,,,
19/06/2023,Venstre-Højre:Med uret,8,"5,5",,,,,,
19/06/2023,Venstre-Højre:Med uret,9,5,,,,,,
